단어,빈도
게으름,12
항상,16
거지,16
그런거야,11
그동안,11
평소,11
다르게,11
다양한,11
느낌,22
믹스,11
둘,11
좋아하시냐,13
구,13
혼,10
드림,10
딧,10
앨범,23
단단히,10
나머지,10
분위기,21
최대한,10
퇴근길,11
태식,10
달,30
성진,10
게,11
모든,11
곡,43
강박,11
변태,11
끼,11
발동,11
주,27
겨우,11
플리,11
랄,10
미완,10
성,20
커먼,26
데,10
듯,30
결과,10
만족,10
바람,11
타고,11
여름밤,11
자,10
슬슬,11
어디,14
없을까,14
안전벨트,9
출발,9
새벽,36
마냥,10
밀어내기,10
감미로운,10
우울,10
대하,10
애,10
그러길,10
그럴,11
같아,11
기존,16
업로드,42
많은,26
궁금해,16
중,29
저작권,16
취급,16
방식,16
변경,16
스트레스,16
고민,16
제외,16
번,16
업데이트,16
추가,16
재,16
문제,16
부분,16
전혀,16
없으니,16
급,11
요런,14
캐롤,28
아마,14
없을걸,14
뻔하지,14
채운,14
즐감,14
높은,13
회수,26
기록,13
사,13
모음,13
벽감,10
순서,10
심히,10
신경,33
담담하게,7
이별,7
그랬음,11
좋겠어,11
청량한,10
하늘,10
아래,10
있다는,10
사실,10
작업,23
모로,10
아쉬워서,10
계속,10
수정,20
거듭,10
만큼,10
좋아해,10
고마워요,13
가득한,13
개인,13
취향,13
듬뿍,13
추리,13
후회,13
없을거에요,13
트랙,13
순서도,13
맘,13
