단어,빈도
인,51
만끽,51
보랏빛,51
있으면,51
방문,51
걸음,50
이름,50
피,50
사람과,50
캐치,50
클래식,50
하이,50
색다른,50
희망이,50
에센셜,50
작성,50
지수,50
좋지만,50
스페셜,50
편,50
여성,50
가족영화,50
구역,50
엣헴,50
안개,50
피어,50
주,50
감,50
감동,50
세대,49
어스름,49
연인,49
부터,49
틈,49
널,49
끊임없이,49
불멸,49
신한,49
선정,49
썸머,49
없어,49
핑크,49
관통,49
갑자기,49
많은,49
폭,49
벅찬,48
따뜻해,48
힘들었던,48
쩌,48
좋아할,48
기간,48
있지,48
누가,48
꽃처럼,48
바탕,48
대표,48
해방촌,48
목소리,48
콘텐츠,47
제작,47
향,47
좋잖아,47
계속,47
석양,47
뜨거운,47
유료,47
차단,47
금방,46
채널,46
있나요,46
처음,46
옆,46
신제품,46
영감,46
해지,46
리드미컬한,46
포크,46
절제,45
공원,45
청량하고,45
개장,45
하우스,45
테크,45
봄맞이,45
연주,45
금요일,44
달빛,44
명,44
기념,44
따뜻하고,44
가기,44
기대하며,44
썸,44
딥,44
일부러,44
휴양지,44
에너지,44
우린,44
유영,44
토,44
공허한,44
한적한,44
몽환,43
뿜뿜,43
자신,43
신나고,43
술,43
보사노바,43
운전,43
복잡한,43
주인공,43
습기,43
그랬어,43
귓가,43
좋아한다면,43
창,42
시절,42
저격,42
업로드,42
뉴욕,42
아련한,42
아프로,42
산뜻하고,41
다행,41
콜렉션,41
경계,41
엄마,41
추억,41
은은하게,41
휴일,41
밖,41
회색,41
방안,41
심장,41
갈래,41
신곡,41
버스,41
시즌,41
고생,40
일렉트로,40
까딱,40
만,40
울적한,40
순,40
힙해짐,40
프리미엄,40
온전,39
낯선,39
하트,39
자,39
부드러운,39
소프트,39
시그널,39
편안함,39
복판,39
순이,38
완성,38
돌이,38
야경,38
뜻,38
잠기,38
그린,38
핫플,38
초가을,38
에스프레소,38
보시,38
확실한,37
서로,37
월요병,37
신나,37
이건,37
자장가,37
미국,37
부드럽게,37
힘들어하고,37
호캉스,37
소소하지만,37
차가운,37
가치,37
때문,37
매운,37
뭉글,36
기운,36
홀로,36
팝락,36
시끄럽지,36
벚꽃,36
차분하고,36
질,36
진,36
지나,36
필요해,36
국도,36
보장,36
따스하고,36
만난,36
힘찬,36
나른하게,35
뉴,35
마치,35
복잡할,35
편안하고,35
밴드,35
슬픈,34
물결,34
분과,34
가지,34
미술관,34
초대,34
프랑스,34
장마,34
계정,34
서비스,34
렁,34
스케이트,34
동심,34
한가람,34
가족,34
디자인,34
점점,34
내일,34
링,34
규모,34
고스,34
섹스,34
벨,34
따슷하,34
관람객,34
페인팅,34
매,34
있는데요,34
반하고,34
탄생,34
해당,34
싱그럽고,34
관람,34
배우,34
잔뜩,34
리지,34
어떤지요,34
주제,34
화가,34
최대,34
성,34
손해,34
예술의전당,34
가야,34
해방,33
무기,33
러블리,33
지루해,33
댄스,33
포기,33
정신,33
게스트,33
펑크,33
인디밴드,33
춤,33
있음,33
십년,33
자유,33
필름,33
최고,33
신경,33
레스토랑,33
쉿,33
체증,33
없을걸,33
힘들더라도,33
왜,33
힘들,32
뚝,32
싹,32
즐거운,32
싫은데,32
모델,32
외힙러들,32
유발,32
센치,32
자주,32
오지,32
흥겨운,32
복잡하고,32
비도,32
락,32
탈때,32
불,32
강,31
이종범,31
많다,31
가득할거야,31
회사,31
풀,31
소중하지만,31
사무실,31
비타민,31
극락,31
싫을,31
팝아티스트,31
신현빈,31
자정,31
하자,31
화,31
발표,31
이쁜,31
점심시간,31
창가,31
타임,31
예,31
연구소,31
타,31
제품,31
필요하죠,31
지하방,31
구,31
감기,31
캔맥,31
목,31
묵직한,30
쉬,30
가슴,30
토요일,30
수영,30
도넛,30
스타,30
장소,30
베스트,30
법,30
지엄,30
늦가을,30
렉,30
낮맥,30
디스코,30
강한,30
쿵쾅,30
욕조,30
울,30
꿀렁,30
불금,30
어땠나요,30
만점,30
인스타,30
훅,30
아이유,30
기쁨,30
자꾸,30
산책길,30
정류장,30
쨍,30
트랙,30
열정,30
선명하게,30
즈음,30
세트,30
선택,29
있던,29
템포,29
저기,29
외출,29
힘든,28
마주,28
원료,28
커피빈,28
스토어,28
그때,28
온실,28
한강,28
꿀렁이,28
꿀꿀한,28
위치,28
미온수,28
핵심,28
둠칫,28
발렌타인데이,28
애,28
골목길,28
있을까,28
대한,28
매년,28
설렘지수,28
따뜻했던,28
취소,28
경험,28
벽감,28
반해,28
층,28
나무,28
핫초코,28
단상,28
수채화,28
평일,28
플래그,28
예감,28
파도처럼,28
내게로,28
린다,28
무수,28
베이지,28
연희,28
수많은,28
연희동,28
바이닐,27
세기,27
불빛,27
만날,27
호강,27
좋구요,27
굿나잇,27
얘,27
땐,27
세,27
추첨,27
비행,27
여행가,27
설레이는,27
인과,27
존재,27
안도,27
블루투스,27
귀로,27
따스했던,27
일로,27
한해,27
초청,27
돗자리,27
미치겠어요,27
고당,27
머리,27
에미넴,27
잭,27
동반,27
당고,27
철수,27
개별,27
마련,27
점철,27
적막한,26
꽃내음,26
침대,26
짙게,26
온통,26
토닥토닥,26
애플,26
굿모닝,26
펑키,26
예쁜,26
밍,26
호수,26
나른해지는,26
잔디밭,26
커먼,26
댄서,26
불면,26
젊음,26
제거,26
블,26
어깨,26
회수,26
뷰,25
안될까,25
태풍,25
부가,25
지지,25
맑음,25
개도,25
로맨스,25
인터라켄,25
지루한,25
콜,25
나라,25
캬캬캬,25
선사,25
위태롭,25
캠프,25
생명,25
롤러코스터,25
녀석,25
발걸음,25
감독,25
분명히,25
놀이,25
마스크,25
프렌치,25
이내,25
만약,25
선샤인,25
결코,25
마법,25
깊은,25
진정한,25
아니라,25
자욱한,25
치도,25
짙은,25
맥주,25
해일,25
사과,25
그릴,25
매우,25
집콕러들,25
괜찮으시겠어요,25
상쾌하게,25
터널,25
짜릿한,25
삽입,25
스레,25
최면,25
뻔,25
광고음악,25
초저녁,25
도파민,25
세레나데,25
절망,25
버티고,25
광경,25
벅차,25
팽이,25
조심,25
망원동,25
소복소복,25
것임,25
있겠지,25
같아서,25
시리,25
소소한,25
있기에,25
있는지도,25
있어요,25
쏙쏙,25
매몰,25
소담,25
시린,25
집시재즈,25
주위,25
형님,25
광활한,25
출퇴근길,25
없잖아,24
전달,24
건강한,24
전초,24
엉덩이,24
나른하고,24
결정,24
접수,24
에메랄드,24
제목,24
본격,24
나태주,24
롯,24
밋밋한,24
지루한게,24
오렌지,24
도로,24
스스로,24
멜랑콜리,24
무렵,24
메리,24
쿨,24
에이,24
좋아하고,24
체,24
포근포근,24
시끄러운,24
무언가,24
해진,24
편집숍,24
자생,24
축,24
줄기,24
벨벳,24
출발,24
만큼,24
은,24
블링블링,24
안성맞춤,24
취,24
있고,24
해안,24
곁,24
맘,24
화이팅,24
싫다구,24
더해,24
자체,24
뿌리,24
식물,24
겹,24
팔,24
세련되고,24
그리워하세요,24
일출,24
잔잔히,24
홍대,23
청소,23
전자,23
피쳐링,23
특별,23
나른함과,23
최신,23
깊어져라,23
출시,23
지원,23
공덕,23
잔잔함,23
지하,23
끈,23
오전,23
꼬리,23
필요,23
조각,23
완벽하게,23
니,23
서늘한,23
런칭,23
몽글몽글해지는,23
소개,23
