,제목,설명,가수,곡명,이미지객체,이미지색감,색감비율
28,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage,person,"[83, 138, 161]",32.854709201388886
29,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage,person,"[18, 50, 83]",13.557942708333334
30,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"[7, 10, 13]",53.58734809027778
31,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"[83, 138, 161]",32.854709201388886
32,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"[18, 50, 83]",13.557942708333334
33,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"[7, 10, 13]",53.58973524305556
34,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"[83, 138, 161]",32.853841145833336
35,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"[18, 50, 83]",13.556423611111112
36,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person,"[7, 10, 13]",53.58734809027778
37,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person,"[83, 138, 161]",32.854709201388886
38,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person,"[18, 50, 83]",13.557942708333334
39,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yaeow, Neptune",The Way I Love You,person,"[7, 10, 13]",53.58951822916666
40,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yaeow, Neptune",The Way I Love You,person,"[83, 138, 161]",32.853841145833336
41,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yaeow, Neptune",The Way I Love You,person,"[18, 50, 83]",13.556640625
42,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Hayd,When You Were Mine,person,"[7, 10, 13]",53.58951822916666
43,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Hayd,When You Were Mine,person,"[83, 138, 161]",32.853841145833336
44,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Hayd,When You Were Mine,person,"[18, 50, 83]",13.556640625
45,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,you're just a guy,person,"[7, 10, 13]",53.56597222222222
46,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,you're just a guy,person,"[83, 138, 161]",32.85687934027778
47,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,you're just a guy,person,"[18, 50, 83]",13.5771484375
