단어,빈도
시그널,39
하트,39
편안함,39
온전,39
추가,39
잠깐,39
두,39
부드러운,39
에스프레소,38
아름다운,38
초가을,38
돌이,38
시원해지는,38
핫플,38
순이,38
맞이,38
잠기,38
갈래,38
월요병,37
소소하지만,37
이건,37
매운,37
미국,37
부드럽게,37
자장가,37
호캉스,37
계속,37
힘들어하고,37
신나,37
확실한,37
조금,37
어느새,37
차가운,37
시끄럽지,36
국도,36
무엇,36
힘찬,36
차분하고,36
팝락,36
따스하고,36
어떤,36
소중한,36
만난,36
지나,36
홀로,36
진,36
필요해,36
보장,36
질,36
뭉글,36
뉴,35
편안하고,35
나른하게,35
밴드,35
건,35
복잡할,35
싱그럽고,34
정리,34
따슷하,34
물결,34
특별한,34
손해,34
반하고,34
미셸,34
슬픈,34
링,34
스케이트,34
들라크루아,34
러블리,33
색,33
펑크,33
인디밴드,33
최고,33
무기,33
춤,33
수고,33
레스토랑,33
지루해,33
십년,33
체증,33
해방,33
자유,33
왜,33
댄스,33
정신,33
힘들더라도,33
포기,33
쉿,33
흥겨운,32
뚝,32
불,32
싹,32
힘들,32
복잡하고,32
때로는,32
자주,32
유발,32
오지,32
즐거운,32
곧,32
센치,32
외힙러들,32
비도,32
싫어,32
락,32
탈때,32
싫을,31
캔맥,31
가득할거야,31
이쁜,31
감기,31
극락,31
술,31
타임,31
달,31
팝아티스트,31
타,31
강,31
창가,31
풀,31
불금,30
즈음,30
법,30
만점,30
디스코,30
묵직한,30
울,30
쨍,30
스타,30
도넛,30
강한,30
쉬,30
자꾸,30
베스트,30
독자,30
기쁨,30
세트,30
늦가을,30
낮맥,30
정류장,30
렉,30
산책길,30
브랜드,30
꿀렁,30
수영,30
훅,30
쿵쾅,30
선명하게,30
욕조,30
열정,30
토요일,30
가슴,30
어땠나요,30
아이유,30
지엄,30
외출,29
자,29
설렌다,29
정점,29
템포,29
또,29
저기,29
반해,28
파도처럼,28
마주,28
핫초코,28
둠칫,28
골목길,28
설렘지수,28
자리,28
발렌타인데이,28
온실,28
꿀꿀한,28
한강,28
따뜻했던,28
무수,28
내게로,28
매년,28
대한,28
단상,28
예감,28
수채화,28
꿀렁이,28
당고,27
고당,27
안도,27
만,27
설레이는,27
불빛,27
돗자리,27
존재,27
머리,27
블루투스,27
점철,27
처음,27
호강,27
귀로,27
좋구요,27
미치겠어요,27
비행,27
철수,27
에미넴,27
일로,27
잭,27
바이닐,27
세기,27
따스했던,27
꽃내음,26
그래,26
굿모닝,26
어깨,26
예쁜,26
펑키,26
짙게,26
제거,26
적막한,26
밍,26
잔디밭,26
댄서,26
나른해지는,26
를,26
불면,26
블,26
온통,26
젊음,26
토닥토닥,26
애플,26
짜릿한,25
선사,25
로맨스,25
망원동,25
이상,25
녀석,25
도파민,25
형님,25
쏙쏙,25
걱정,25
시리,25
뷰,25
집콕러들,25
만약,25
시린,25
캬캬캬,25
개도,25
콜,25
삽입,25
최면,25
출퇴근길,25
감독,25
광고음악,25
지루한,25
집시재즈,25
그릴,25
괜찮으시겠어요,25
인터라켄,25
마법,25
이름,25
놀이,25
있어요,25
세레나데,25
프렌치,25
광활한,25
초저녁,25
자연,25
채,25
상쾌하게,25
치도,25
사과,25
캠프,25
소복소복,25
나라,25
소소한,25
매우,25
맥주,25
마스크,25
뻔,25
롤러코스터,25
안될까,25
그림,25
맑음,25
부가,25
본격,24
지루한게,24
도로,24
싫다구,24
화이팅,24
꽃처럼,24
다시금,24
접수,24
해안,24
무언가,24
에이,24
블링블링,24
밋밋한,24
엉덩이,24
해진,24
나른하고,24
쿨,24
멜랑콜리,24
있지,24
제목,24
일출,24
벨벳,24
메리,24
취,24
편집숍,24
무렵,24
포근포근,24
없잖아,24
세련되고,24
오렌지,24
시끄러운,24
팔,24
결정,24
에메랄드,24
안성맞춤,24
체,24
축,24
서늘한,23
필요,23
아름다웠다,23
많은,23
피쳐링,23
꼬리,23
앞,23
몽글몽글해지는,23
조각,23
주,23
잔잔함,23
지하,23
청소,23
최신,23
나른함과,23
끈,23
니,23
완벽하게,23
공덕,23
오전,23
레모네이드,23
홍대,23
물기,23
설레어서,22
푸스,22
란,22
찰리,22
영감,22
추억,22
전세계,22
장남,22
그날,22
더하다,22
잔나비,22
실크,22
출연자,22
포,22
조작,22
파워,22
연남동,22
그리워질,22
설레잖아,22
소닉,22
폼,21
현실,21
있다고,21
기념,21
통통,21
순간이동,21
클렌징,21
고급,21
바다로,21
어프,21
세월,21
겉,21
취저,21
러브,21
신년,21
주년,21
재즈팝,21
금방,21
면서,21
불멍,21
당당한,21
들뜨잖아,21
비극,21
대송,21
신남,21
나란히,21
크러쉬,21
침,21
뜨겁게,21
검정치마,21
바닷가,21
캠핑장,21
반하는,20
밤하늘,20
네온,20
하얀,20
방울,20
있다면,20
잔잔함이,20
작고,20
평생,20
짝꿍,20
장난,20
우유,20
아니잖아,20
귀찮아서,20
소파,20
제대로,20
사인,20
생활,20
미학,20
독기,20
재밌는,20
때문,20
미소,20
더한,20
강렬한,20
번화가,20
바이러스,20
해피,20
남성,20
답답한,20
샤우팅,20
탄산,20
롸커들,20
성수동,20
칩거,20
추석,20
차안,20
도착,20
고개,20
로봇,20
쌀쌀한,20
미러볼,20
장바구니,20
건방져지는,20
은은한,20
센슈얼,20
이제,20
발랄,20
생기,20
브금,20
풋풋한,20
장난감,20
정말,20
무중력,19
테라스,19
소호,19
갓,19
추위,19
나들이,19
청량터,19
주제가,19
게임,19
옷장,19
헬스할,19
좋지만,19
없을걸,19
미라클,19
붉은,19
라드,19
뮤,19
러,19
마디,19
살,19
없던,19
있나요,19
뜨거웠던,19
없죠,19
책방,19
위켄드,19
사이먼,19
듀엣,19
미쳤,19
더운,19
네온사인,19
언니,19
드라이빙,19
도미,19
