단어,빈도
미국,37
하이,50
틴,74
주인공,43
파티,186
그루,414
브,351
좋아하면,82
클릭,74
따뜻해,48
곧,32
루프,93
탑,93
순간이동,21
복잡할,35
잠시,56
일상,272
러,19
바쁜,72
있음,16
남,16
별로,16
채,25
핫,75
띵곡들,11
놨는데,11
잔잔하면서,12
리틀,17
포레스트,17
지름신,13
쇼핑,13
호강,27
보장,36
셀,10
신나,37
안녕,109
썸,44
탈때,32
추가,39
취,24
자존감,12
좋겠어,108
연인,15
편집,96
현실,21
영감,22
주노,5
음원,5
자꾸,30
미쳤다,71
무한,10
소화,18
벅찬,48
올드,71
재즈,472
모던,18
문득,61
제주도,15
야간,15
비행,27
아까운,9
행복해,17
눈,144
결정,24
체,24
맛집,84
우린,44
행복할,15
필요,23
같은,226
면서,21
소프트,39
겉,21
힙하,57
부드러운,39
레이,54
어프,21
클렌징,21
차가운,37
매번,15
있다고,21
신나지,12
좋아하잖아,12
일출,24
따슷,53
한국인,13
없는가수,13
리듬,106
더운,19
평생,20
짝꿍,20
텐션,107
휴가,67
물속,53
햇빛,6
빨래,6
산뜻하고,41
좋아한다면,43
타임,31
앤,17
마리,17
길은,13
바다로,21
출근,14
클럽,109
짜릿해,16
힘든,11
운동,69
쉬워,11
짐,11
빡샌,11
책임,59
장인,67
얼마나,15
좋은지,15
신스팝,13
인디팝,66
러블리,33
바다,135
장마,18
무더운,69
쿵쾅,30
설레게,15
부터,49
한도,17
초과,17
뷰,25
펑크,33
세상,41
재생,17
좋잖아,47
화음,19
듀엣,19
무작정,12
포크,12
쏠,16
서운할,16
같은데,16
몽,10
밤하늘,20
섹시,74
정석,14
과,46
몰입,14
있는데,8
수도,16
없어,49
시원하고,52
힘들어서,11
페스티벌,2
장난,20
아니잖아,20
순,40
없잖아,24
제,64
장사,64
울,30
언니,19
내적댄스,57
폭발,90
이건,37
못,66
레트로,90
둠칫둠칫,18
계속,37
복잡하고,32
힘들,32
정말,20
쌘,9
도착,20
반해서,11
걸음걸이,9
스웨,9
다가,10
미쳤,19
빡센,12
처음,27
파리,227
완벽하게,23
벽감,18
배,54
없을걸,19
오전,23
조용한,68
흔한,8
지루해,33
유니크,8
완료,69
사,122
누구,12
강한,30
저절로,9
뭉게뭉게,9
화이트,55
어느새,37
이번,9
트랙,17
상큼,192
연수,10
추억,22
네,168
맘,11
전부,11
았었는데,8
뮤지션,8
세번,11
그린,10
심쿵,18
락스타,10
안,184
수면제,11
길어,10
쌀쌀한,20
공부,16
전교,16
흥겨운,32
안되는,13
장남,22
발,11
존나,11
마블,5
새로운,75
히어로,5
샹치,10
토리,6
착각,12
만큼,14
브팝,63
제대로,20
타,31
고생,40
시원해서,14
다행,14
이쁜,31
헬스할,19
눈동자,9
다운,9
섹시함은,9
하디,9
그런,18
있잖아,18
사이다,12
처럼,12
힘들어하는,8
깄,53
퇴폐,17
야할,17
출근길,11
조합,12
뉴,35
호프,8
섹시한,15
소나타,13
람보르기니,13
눈물,17
펑펑,17
없었으면,7
신나게,9
매출,17
좋으니까,9
젊은,3
현재,3
공덕,23
잔디밭,26
평범한,61
특별한,34
연남동,22
의,86
봄날,164
망원동,25
광고,40
모델,15
위스키,62
유영,44
시끄러운,24
고맙도록,86
할아버지,1
손,16
잡고,1
상점,1
낯선,39
피해,57
골목길,28
작은,67
토,44
유니온,14
에어컨,18
창문,57
칠하고,18
엉덩이,24
계획,16
올드팝,14
에메랄드,24
빛,114
뜨거웠던,19
알프스,13
호숫가,13
젊음,26
갑자기,49
힙해짐,40
낭만,142
무더웠던,1
지난,1
로럴,3
향,47
걷기,1
가기,44
귀찮아서,20
핑크,49
타고,111
중,123
미드나잇,18
러닝,18
빈티,98
러브,21
외로움,3
나쁘지만은,3
물든,72
브루클린,83
마지막,43
그리워하며,15
윈터,16
실크,22
소닉,22
소박하고,16
시속,16
하트,39
시그널,39
출연자,22
조작,22
불빛,27
석양,47
해안,24
도로,24
춤,33
플라워,9
방황,56
구,18
내일,17
라드,19
뮤,19
통해,17
서교동,1
고단,16
나이,15
건,35
맞이,38
살,19
가게,64
있나요,19
푸르른,15
을지로,17
성수동,20
마주,28
앞,23
아이폰,14
거나,14
아니거나,14
골목,17
차분한,1
드립커피,1
책방,19
내추럴,17
시시콜콜한,17
차,71
스케이트,34
뉴욕,42
활보,17
핑크색,13
홀로,36
링,34
한강,28
플랫,1
맛있는,1
잠깐,39
복판,13
다니엘,1
시저,1
서점,1
약속,52
없고,13
넷플릭스,13
지겹고,13
아쉬워,13
좋으니,17
나중,59
몽골,15
여행가,15
가면,59
막차,12
포브스,18
선정,18
운전,43
숲,11
우려,12
로봇,20
보리차,13
이유,13
밍,26
기적,53
포르투,15
강가,16
없어서,12
김,12
오키,12
때로는,32
마디,19
미안,14
얘기,14
피렌체,14
미러볼,20
장바구니,20
벽난로,10
핫초코,28
새로,12
산,12
옷,12
막,12
창,42
에펠탑,15
트렌치코트,12
고독,12
컨셉,12
브라운아이드소울,15
청소,23
길게,12
남방,11
하나,80
멋있게,10
법,30
있나보다,14
국도,36
효,18
프롬,18
정거장,14
친구,60
검정치마,21
오,10
있을래,10
피쳐링,23
꼬리,23
물기,23
보랏빛,51
랭,13
커피,119
베이글,16
사서,16
밖,41
징,16
불안한,13
그래,26
자,29
깡,11
좋은데,112
흑백,16
필름,16
같았던,16
버스,41
서툴지만,7
색,33
블루,9
욕조,30
를,26
주문,13
한적한,44
오존,13
오혁,16
카더,16
가든,16
죠지,11
기리보이,11
유튜브,87
트렌딩,87
취할,17
긍정,16
에너지,16
형님,25
저,89
녀석,25
요,92
캐치,50
달짝,146
지근,146
옷장,19
정리,34
보사노바,43
취해,17
차분하고,36
로,84
파이,84
해방촌,48
바이닐,27
펍,112
바이브,91
세기,27
잭,27
스윙,67
부질없다,15
세상만사,15
귀찮을,15
데,258
일리,288
