이미지,제목,설명,가수,곡명,이미지객체
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yaeow, Neptune",The Way I Love You,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Hayd,When You Were Mine,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,you're just a guy,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,I Want You,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Abe Parker - Butterflies,Acoustic,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,MAX - EDIE CELINE,Stripped Version,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Ripples,Acoustic,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,still that kid (deep down),person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,everything to me,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"d4vd, Laufey",This Is How It Feels,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet),person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Starlight,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - la la la that's how it goes,dream edit,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Milena - Letter,English Version,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,The Paper Kites,Tin Lover,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,"92914,HanMinji",Someday,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - free love,dream edit,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Gogang,Love Is (Intro),person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - gone gone gone,dream edit,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,Whatever You Want,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sino,Strange,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Oscar Lang,million little reasons,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Okinawa,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sam Ock,Remember,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - one way to tokyo,dream edit,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Joey Stamper,In The Wee Small Hours Of The Morning,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,SOLOMON,do you want my love?,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Sam Ock,silent,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,When You Wash Your Hair,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,another guy,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Gogang,Your Night Is My Dream,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,"The Paper Kites, Lucy Rose",For All You Give,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,yellow lights,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,yaeow,does it really matter?,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,to the moon & back,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Wang OK,City Of Stars,person
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Api & Sarah Hemi,Isn't It Strange,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,When The World Stopped Moving,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,I Don't Know You At All,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,Angelina,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Eloise,Wanderlust,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Delaney Bailey,we were girls together,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lyn Lapid,My Little Island,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,In Agreement,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,...What Are We?,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Olivia Barton,Control Freak,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Avery Lynch,useless information,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lyn Lapid,When She Loved Me,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Paolo Bennet,It's a Sin to Tell a Lie,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,Stupid,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Siv Jakobsen,Not Alone,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Melody Niche,Vincent,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Joie Tan,any picture with you,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Jack Rabbit,Baby,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,chloe moriondo,Exhausted,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,In What World,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Lizzy McAlpine,A Little Bit of Everything,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Daphne Gale,I Make You,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,mxmtoon,temporary nothing,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Clairo,Bubble Gum,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Jess Benko,A Soulmate Who Wasn't Meant to Be,person
https://img.youtube.com/vi/0KyiaExzJH0/maxresdefault.jpg,생각에 잠긴 당신에게,#팝송추천 #플레이리스트 #노래추천 생각의 정리가 필요한 오늘.,Florist,Shadow Bloom,person
https://img.youtube.com/vi/e0DmU2_SsSM/maxresdefault.jpg,지친 너에게 잔잔한 위로를,"#팝송추천 #플레이리스트 #노래추천 가끔은 너의 인생이 너무 벅차 주저앉고 싶을지도 모르겠다.끊임없이 몰아치는 인생의 시련들.그 속에서 너는, 마치 금방이라도 쓰러질 것 같은 팽이처럼 위태롭게 버티고 있는지도 모르겠다.그래, 시련은 성난 파도와 같아서 매몰차게 너에게로 밀려 들어오겠지.때로는 해일처럼 밀려오는 시련에, 깊은 절망의 한복판으로 가라앉아 버릴 때도 있겠지.애써 피해보려 하지만 결코 피할 수 없는 인생의 시련들.하지만, 그렇게 두려움에 떨면서도 이내 발걸음을 옮기는 너.진정한 용기란 두려움을 느끼지 않는 것이 아니라,두려움 속에서도 물러나지 않는 것임을 너는 알기에.그 안개가 자욱한 길 속에서도 더듬 더듬 주위를 짚으며 조심히 한 걸음 또 한 걸음을 내딛다 보면, 어느새 안개는 말끔히 걷히고 놀랍도록 아름다운 광경들이 선명히 드러날 것을 너는 분명히 알고 있기에.태풍이 헤집고 지나간 자리도 결국엔 다시 새로운 생명이 피어나듯, 시련이 비집고 지나간 너에게도 다시금 새로운 희망이 피어났으면 좋겠다.그렇게 소담스레 피어난 너의 희망이 오래도록 지지 않은 채 짙은 향기를 마음껏 뿜어내었으면 좋겠다.by 네고막을책임져도될까?",Sarah Kang,goodbye and godspeed,
https://img.youtube.com/vi/e0DmU2_SsSM/maxresdefault.jpg,지친 너에게 잔잔한 위로를,"#팝송추천 #플레이리스트 #노래추천 가끔은 너의 인생이 너무 벅차 주저앉고 싶을지도 모르겠다.끊임없이 몰아치는 인생의 시련들.그 속에서 너는, 마치 금방이라도 쓰러질 것 같은 팽이처럼 위태롭게 버티고 있는지도 모르겠다.그래, 시련은 성난 파도와 같아서 매몰차게 너에게로 밀려 들어오겠지.때로는 해일처럼 밀려오는 시련에, 깊은 절망의 한복판으로 가라앉아 버릴 때도 있겠지.애써 피해보려 하지만 결코 피할 수 없는 인생의 시련들.하지만, 그렇게 두려움에 떨면서도 이내 발걸음을 옮기는 너.진정한 용기란 두려움을 느끼지 않는 것이 아니라,두려움 속에서도 물러나지 않는 것임을 너는 알기에.그 안개가 자욱한 길 속에서도 더듬 더듬 주위를 짚으며 조심히 한 걸음 또 한 걸음을 내딛다 보면, 어느새 안개는 말끔히 걷히고 놀랍도록 아름다운 광경들이 선명히 드러날 것을 너는 분명히 알고 있기에.태풍이 헤집고 지나간 자리도 결국엔 다시 새로운 생명이 피어나듯, 시련이 비집고 지나간 너에게도 다시금 새로운 희망이 피어났으면 좋겠다.그렇게 소담스레 피어난 너의 희망이 오래도록 지지 않은 채 짙은 향기를 마음껏 뿜어내었으면 좋겠다.by 네고막을책임져도될까?",Sarah Kang,now i know,
https://img.youtube.com/vi/e0DmU2_SsSM/maxresdefault.jpg,지친 너에게 잔잔한 위로를,"#팝송추천 #플레이리스트 #노래추천 가끔은 너의 인생이 너무 벅차 주저앉고 싶을지도 모르겠다.끊임없이 몰아치는 인생의 시련들.그 속에서 너는, 마치 금방이라도 쓰러질 것 같은 팽이처럼 위태롭게 버티고 있는지도 모르겠다.그래, 시련은 성난 파도와 같아서 매몰차게 너에게로 밀려 들어오겠지.때로는 해일처럼 밀려오는 시련에, 깊은 절망의 한복판으로 가라앉아 버릴 때도 있겠지.애써 피해보려 하지만 결코 피할 수 없는 인생의 시련들.하지만, 그렇게 두려움에 떨면서도 이내 발걸음을 옮기는 너.진정한 용기란 두려움을 느끼지 않는 것이 아니라,두려움 속에서도 물러나지 않는 것임을 너는 알기에.그 안개가 자욱한 길 속에서도 더듬 더듬 주위를 짚으며 조심히 한 걸음 또 한 걸음을 내딛다 보면, 어느새 안개는 말끔히 걷히고 놀랍도록 아름다운 광경들이 선명히 드러날 것을 너는 분명히 알고 있기에.태풍이 헤집고 지나간 자리도 결국엔 다시 새로운 생명이 피어나듯, 시련이 비집고 지나간 너에게도 다시금 새로운 희망이 피어났으면 좋겠다.그렇게 소담스레 피어난 너의 희망이 오래도록 지지 않은 채 짙은 향기를 마음껏 뿜어내었으면 좋겠다.by 네고막을책임져도될까?",Arash Buana,stars,
https://img.youtube.com/vi/e0DmU2_SsSM/maxresdefault.jpg,지친 너에게 잔잔한 위로를,"#팝송추천 #플레이리스트 #노래추천 가끔은 너의 인생이 너무 벅차 주저앉고 싶을지도 모르겠다.끊임없이 몰아치는 인생의 시련들.그 속에서 너는, 마치 금방이라도 쓰러질 것 같은 팽이처럼 위태롭게 버티고 있는지도 모르겠다.그래, 시련은 성난 파도와 같아서 매몰차게 너에게로 밀려 들어오겠지.때로는 해일처럼 밀려오는 시련에, 깊은 절망의 한복판으로 가라앉아 버릴 때도 있겠지.애써 피해보려 하지만 결코 피할 수 없는 인생의 시련들.하지만, 그렇게 두려움에 떨면서도 이내 발걸음을 옮기는 너.진정한 용기란 두려움을 느끼지 않는 것이 아니라,두려움 속에서도 물러나지 않는 것임을 너는 알기에.그 안개가 자욱한 길 속에서도 더듬 더듬 주위를 짚으며 조심히 한 걸음 또 한 걸음을 내딛다 보면, 어느새 안개는 말끔히 걷히고 놀랍도록 아름다운 광경들이 선명히 드러날 것을 너는 분명히 알고 있기에.태풍이 헤집고 지나간 자리도 결국엔 다시 새로운 생명이 피어나듯, 시련이 비집고 지나간 너에게도 다시금 새로운 희망이 피어났으면 좋겠다.그렇게 소담스레 피어난 너의 희망이 오래도록 지지 않은 채 짙은 향기를 마음껏 뿜어내었으면 좋겠다.by 네고막을책임져도될까?",Ed Sheeran,Spring,
https://img.youtube.com/vi/e0DmU2_SsSM/maxresdefault.jpg,지친 너에게 잔잔한 위로를,"#팝송추천 #플레이리스트 #노래추천 가끔은 너의 인생이 너무 벅차 주저앉고 싶을지도 모르겠다.끊임없이 몰아치는 인생의 시련들.그 속에서 너는, 마치 금방이라도 쓰러질 것 같은 팽이처럼 위태롭게 버티고 있는지도 모르겠다.그래, 시련은 성난 파도와 같아서 매몰차게 너에게로 밀려 들어오겠지.때로는 해일처럼 밀려오는 시련에, 깊은 절망의 한복판으로 가라앉아 버릴 때도 있겠지.애써 피해보려 하지만 결코 피할 수 없는 인생의 시련들.하지만, 그렇게 두려움에 떨면서도 이내 발걸음을 옮기는 너.진정한 용기란 두려움을 느끼지 않는 것이 아니라,두려움 속에서도 물러나지 않는 것임을 너는 알기에.그 안개가 자욱한 길 속에서도 더듬 더듬 주위를 짚으며 조심히 한 걸음 또 한 걸음을 내딛다 보면, 어느새 안개는 말끔히 걷히고 놀랍도록 아름다운 광경들이 선명히 드러날 것을 너는 분명히 알고 있기에.태풍이 헤집고 지나간 자리도 결국엔 다시 새로운 생명이 피어나듯, 시련이 비집고 지나간 너에게도 다시금 새로운 희망이 피어났으면 좋겠다.그렇게 소담스레 피어난 너의 희망이 오래도록 지지 않은 채 짙은 향기를 마음껏 뿜어내었으면 좋겠다.by 네고막을책임져도될까?",Gabe Bondoc,Barely,
https://img.youtube.com/vi/e0DmU2_SsSM/maxresdefault.jpg,지친 너에게 잔잔한 위로를,"#팝송추천 #플레이리스트 #노래추천 가끔은 너의 인생이 너무 벅차 주저앉고 싶을지도 모르겠다.끊임없이 몰아치는 인생의 시련들.그 속에서 너는, 마치 금방이라도 쓰러질 것 같은 팽이처럼 위태롭게 버티고 있는지도 모르겠다.그래, 시련은 성난 파도와 같아서 매몰차게 너에게로 밀려 들어오겠지.때로는 해일처럼 밀려오는 시련에, 깊은 절망의 한복판으로 가라앉아 버릴 때도 있겠지.애써 피해보려 하지만 결코 피할 수 없는 인생의 시련들.하지만, 그렇게 두려움에 떨면서도 이내 발걸음을 옮기는 너.진정한 용기란 두려움을 느끼지 않는 것이 아니라,두려움 속에서도 물러나지 않는 것임을 너는 알기에.그 안개가 자욱한 길 속에서도 더듬 더듬 주위를 짚으며 조심히 한 걸음 또 한 걸음을 내딛다 보면, 어느새 안개는 말끔히 걷히고 놀랍도록 아름다운 광경들이 선명히 드러날 것을 너는 분명히 알고 있기에.태풍이 헤집고 지나간 자리도 결국엔 다시 새로운 생명이 피어나듯, 시련이 비집고 지나간 너에게도 다시금 새로운 희망이 피어났으면 좋겠다.그렇게 소담스레 피어난 너의 희망이 오래도록 지지 않은 채 짙은 향기를 마음껏 뿜어내었으면 좋겠다.by 네고막을책임져도될까?",Elina,Blue,
https://img.youtube.com/vi/e0DmU2_SsSM/maxresdefault.jpg,지친 너에게 잔잔한 위로를,"#팝송추천 #플레이리스트 #노래추천 가끔은 너의 인생이 너무 벅차 주저앉고 싶을지도 모르겠다.끊임없이 몰아치는 인생의 시련들.그 속에서 너는, 마치 금방이라도 쓰러질 것 같은 팽이처럼 위태롭게 버티고 있는지도 모르겠다.그래, 시련은 성난 파도와 같아서 매몰차게 너에게로 밀려 들어오겠지.때로는 해일처럼 밀려오는 시련에, 깊은 절망의 한복판으로 가라앉아 버릴 때도 있겠지.애써 피해보려 하지만 결코 피할 수 없는 인생의 시련들.하지만, 그렇게 두려움에 떨면서도 이내 발걸음을 옮기는 너.진정한 용기란 두려움을 느끼지 않는 것이 아니라,두려움 속에서도 물러나지 않는 것임을 너는 알기에.그 안개가 자욱한 길 속에서도 더듬 더듬 주위를 짚으며 조심히 한 걸음 또 한 걸음을 내딛다 보면, 어느새 안개는 말끔히 걷히고 놀랍도록 아름다운 광경들이 선명히 드러날 것을 너는 분명히 알고 있기에.태풍이 헤집고 지나간 자리도 결국엔 다시 새로운 생명이 피어나듯, 시련이 비집고 지나간 너에게도 다시금 새로운 희망이 피어났으면 좋겠다.그렇게 소담스레 피어난 너의 희망이 오래도록 지지 않은 채 짙은 향기를 마음껏 뿜어내었으면 좋겠다.by 네고막을책임져도될까?",kiyu,mountain,
