all_links,img_list,head_list,tag_list
http://bugs.kr/!yt0173,https://img.youtube.com/vi/aN8Q4FAgCFw/maxresdefault.jpg,[Playlist] 산뜻하게 충전하는 하루! 활력 뿜뿜 BGM l Charge Up Your Day! Again!!,#신나는 #팝송 #플레이리스트
http://bugs.kr/!yt61805,https://img.youtube.com/vi/Ngb-EedcipI/maxresdefault.jpg,[Playlist] 유난히 나른한 겨울 | cozy winter day music,#팝송 #플레이리스트 #음악
http://bugs.kr/!yt0166,https://img.youtube.com/vi/SkH7ZZPPYQs/maxresdefault.jpg,"[Playlist] 울적한 하루, 산뜻한 팝송으로 시작해요ㅣThis Playlist gonna make you feel better",#팝송 #플레이리스트 #기분전환
http://bugs.kr/!yt54468,https://img.youtube.com/vi/pp2Tb0896-Y/maxresdefault.jpg,[Playlist] 노을 지는 무드 속 쏟아지는 그루브ㅣ방안을 채우는 나른한 melodyㅣsunset & chill groove,#팝송 #플레이리스트 #노을
http://bugs.kr/!yt0073,https://img.youtube.com/vi/-_7oWsIar9o/maxresdefault.jpg,[Playlist] 소복소복.. 눈이내려 행복한 그대에게ㅣ겨울이라 더 어울리는 것만 같은 POPㅣBest Popular Songs Of 2020,#팝송 #플레이리스트 #카페
http://bugs.kr/!yt0234,https://img.youtube.com/vi/qaypqpYPJvk/maxresdefault.jpg,"[Playlist] 적막한 밤 빗소리와 함께ㅣ비 오는 날, 감성에 젖고 싶다면ㅣrainy day with relaxing jazz music 🛋️",#재즈 #플레이리스트 #와인
http://bugs.kr/!yt0075,https://img.youtube.com/vi/ygtlUylfoy8/maxresdefault.jpg,[Playlist] 지루해? 자극적이지 않은 달짝지근 데일리 팝!ㅣ달짝지근 기분 좋아지는 Daily Pop 2ㅣSongs for a Sweet and Pleasant Day,#팝송 #플레이리스트 #기분전환
http://bugs.kr/!yt0038,https://img.youtube.com/vi/MDr8fmAkgRE/maxresdefault.jpg,[Playlist] 꿀꿀한 하루를 꿀렁이는 하루로!ㅣ힙스터들의 느낌있는 그루브 힙합 플레이리스트ㅣbest hipster music,#팝송 #플레이리스트 #힙합
http://bugs.kr/!yt0223,https://img.youtube.com/vi/7jkK51VMj9Q/maxresdefault.jpg,"[Playlist] 킁킁, 어디서 꽃 냄새 안나요? 🌸ㅣ벚꽃이 만개한 봄! 핑크빛 팝 플레이리스트ㅣcherry blossom spring pop 🌸",#팝송 #플레이리스트 #봄
http://bugs.kr/!yt0020,https://img.youtube.com/vi/JkTM9Q5DfgI/maxresdefault.jpg,[Playlist] 카페에 틀어놓기 좋은 따스한 코코아 Lo-Fi Jazzhopㅣ따스하고 트렌디한 로파이 재즈합ㅣhot chocolate lofi jazzhop,#Jazzhop #팝송 #로파이
http://bugs.kr/!yt0257,https://img.youtube.com/vi/tqf-JKxzKx0/maxresdefault.jpg,[Playlist] 독서의 계절 ☕ㅣ편안한 분위기의 힐링 재즈 연주ㅣrelaxing autumn jazz instrumental,#재즈 #플레이리스트 #가을
http://bugs.kr/!0221,https://img.youtube.com/vi/1wJRs2icW0A/maxresdefault.jpg,"[Playlist] 힙합 너무 좋구요, 미치겠어요ㅣ나도 모르게 비트타는 힙한 외힙 😎ㅣtrendy hip hop of 2021",#팝송 #플레이리스트 #힙합
http://bugs.kr/!yt54589,https://img.youtube.com/vi/L3m5ZAOfcp4/maxresdefault.jpg,"[Playlist] 분위기가 너무 좋은데, 이 노래 뭔가요? | 홈파티할 때 틀기 좋은 힙한 팝송 | hip & groove pop songs",#팝송 #플레이리스트 #음악
http://bugs.kr/!yt55570,https://img.youtube.com/vi/8eemrb8qDEk/maxresdefault.jpg,[Playlist] 크리스마스에 눈이 올까요? ☃️ | 화이트 크리스마스를 기대하며 듣는 2022 캐롤 팝송 | Merry White Christmas ☃️,#플레이리스트 #christmas #최신곡
http://bugs.kr/!yt0109,https://img.youtube.com/vi/xGcWEGdUd_I/maxresdefault.jpg,[Playlist] ✨ 유튜브 트렌딩 Top15 : 2020년 5월 ✨ㅣYouTube Trending Top 15 : May 2020,#팝송 #플레이리스트 #유튜브
