이미지,제목,설명,가수,곡명,이미지객체,이미지색감,색감비율
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,John K,magic,person,"[7, 10, 13]",53.58745659722223
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,John K,magic,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,John K,magic,person,"[18, 50, 83]",13.557834201388888
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",What We Found,person,"[7, 10, 13]",53.58973524305556
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",What We Found,person,"[83, 138, 161]",32.853732638888886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",What We Found,person,"[18, 50, 83]",13.556532118055555
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage,person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"[7, 10, 13]",53.58973524305556
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"[83, 138, 161]",32.853841145833336
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"[18, 50, 83]",13.556423611111112
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person,"[83, 138, 161]",32.854709201388886
