이미지,제목,설명,가수,곡명
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song)
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet)
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Starlight
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - la la la that's how it goes,dream edit
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Milena - Letter,English Version
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,The Paper Kites,Tin Lover
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,"92914,HanMinji",Someday
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - free love,dream edit
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Gogang,Love Is (Intro)
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,HONNE - gone gone gone,dream edit
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Finding Hope,Whatever You Want
