이미지,제목,설명,가수,곡명,이미지객체,이미지색감
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Imaginary Future,Till There Was You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Imaginary Future,Till There Was You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,John K,magic,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,John K,magic,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,John K,magic,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",What We Found,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",What We Found,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",What We Found,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped),person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Maximillian - Letters,Acoustic,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yaeow, Neptune",The Way I Love You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yaeow, Neptune",The Way I Love You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
